complete,volume,time,mid
True,77544,2021-09-15T21:00:00.000000000Z,"{'o': '1.18165', 'h': '1.18208', 'l': '1.17505', 'c': '1.17688'}"
True,72387,2021-09-16T21:00:00.000000000Z,"{'o': '1.17678', 'h': '1.17890', 'l': '1.17243', 'c': '1.17243'}"
True,68425,2021-09-19T21:00:00.000000000Z,"{'o': '1.17319', 'h': '1.17365', 'l': '1.17002', 'c': '1.17267'}"
True,74282,2021-09-20T21:00:00.000000000Z,"{'o': '1.17260', 'h': '1.17487', 'l': '1.17148', 'c': '1.17255'}"
True,105085,2021-09-21T21:00:00.000000000Z,"{'o': '1.17256', 'h': '1.17556', 'l': '1.16844', 'c': '1.16880'}"
True,83418,2021-09-22T21:00:00.000000000Z,"{'o': '1.16890', 'h': '1.17503', 'l': '1.16834', 'c': '1.17388'}"
True,60800,2021-09-23T21:00:00.000000000Z,"{'o': '1.17388', 'h': '1.17478', 'l': '1.17008', 'c': '1.17206'}"
True,83802,2021-09-26T21:00:00.000000000Z,"{'o': '1.17281', 'h': '1.17281', 'l': '1.16846', 'c': '1.16953'}"
True,92804,2021-09-27T21:00:00.000000000Z,"{'o': '1.16989', 'h': '1.17033', 'l': '1.16682', 'c': '1.16834'}"
True,89055,2021-09-28T21:00:00.000000000Z,"{'o': '1.16836', 'h': '1.16903', 'l': '1.15894', 'c': '1.15971'}"
True,99241,2021-09-29T21:00:00.000000000Z,"{'o': '1.15980', 'h': '1.16098', 'l': '1.15626', 'c': '1.15776'}"
